Class,gene_18517,gene_18518,gene_18519,gene_18520,gene_18521,gene_18522,gene_18523,gene_18524,gene_18525,gene_18526,gene_18527,gene_18528,gene_18529,gene_13429,gene_18897,gene_3434,gene_3435,gene_3436,gene_3437,gene_3438,gene_3439,gene_3440,gene_3441,gene_3442,gene_3443,gene_6876,gene_7929,gene_11348,gene_14317,gene_14318,gene_15430,gene_15431,gene_15432,gene_5297,gene_5298,gene_5299,gene_5300,gene_5301,gene_5302,gene_5303,gene_14983,gene_14984,gene_14985,gene_14986,gene_19238,gene_11355,gene_11806,gene_14828,gene_4442,gene_10558,gene_10559,gene_10560,gene_10561,gene_10562,gene_10563,gene_10564,gene_1136,gene_1137,gene_978,gene_979,gene_5235,gene_5236,gene_5237,gene_19874,gene_2858,gene_2859,gene_2860,gene_2861,gene_2862,gene_2863,gene_2864,gene_2865,gene_2866,gene_2867,gene_2868,gene_2869,gene_2870,gene_2871,gene_2872,gene_2873,gene_2874,gene_2875,gene_2876,gene_2877,gene_2878,gene_2879,gene_2880,gene_2881,gene_2882,gene_2883,gene_2884,gene_5020,gene_17769,gene_8971,gene_7752,gene_5047,gene_6535,gene_13574,gene_6552,gene_7432,gene_14752,gene_4316
BRCA,4.372018779,9.842010846,10.0968996,12.17114864,9.092569526,7.800336945,10.86196312,10.3289105,9.552104204,9.158947918,2.806880816,0,10.76122709,8.899009426,5.928964809,0,11.03187348,2.618426617,7.678916987,1.999567127,0.514400039,2.618426617,0,0,13.98216471,13.57608276,10.15551398,2.715717689,8.218606825,11.15813629,6.534161233,3.835974588,3.258232468,12.78856133,3.699918034,11.17907557,9.240908174,10.73026633,8.657136203,8.717114314,2.806880816,1.651683181,7.113929652,7.957781139,2.146394549,9.431978074,0,3.549681491,4.567143832,9.491231802,11.53116699,9.080063346,9.069747809,7.769513903,6.25548185,9.673627087,4.279575297,9.065141438,11.83306006,10.92180375,13.48851802,9.442676075,12.59475847,7.940272482,4.214474554,1.192320435,7.844034076,6.839543947,2.715717689,3.321423063,5.94028188,9.411248271,3.960298552,0,4.784556329,8.687435175,3.258232468,5.411260136,6.028138136,3.792032803,9.493291067,4.247395896,6.673881446,0,0,11.85474763,0,1.836085712,0,0,10.57928765,8.042266762,12.16792927,10.22584608,9.893603388,9.215142242,13.68764906,12.94754197,4.180792346,2.514097005,0,0
KIRC,1.613390205,9.855656509,9.60527949,11.59398862,9.360557419,8.296562944,10.95057777,11.03702524,8.327723287,8.040415763,0,0,10.13252543,8.509945189,9.116627274,0,8.972123964,2.031959741,10.46869531,0.75411786,11.95121549,0.425781539,0,2.773131292,10.59766152,7.963133062,9.377036963,1.766807151,7.754212751,10.80065727,7.264564579,3.037224062,4.455531074,12.28918894,5.95664681,10.77091987,9.143918863,11.23432048,9.128074254,9.120084915,0.75411786,1.021408657,7.205392513,0.75411786,3.360195695,3.498084884,0,2.620422192,13.3681381,10.38930867,10.6317682,10.35907966,9.470058897,8.062812492,6.100723304,9.836825161,1.021408657,7.44023798,10.98029669,10.44685585,12.15911763,9.385948658,11.06596133,4.432779059,4.069642024,1.021408657,7.902079611,6.289834465,4.684639231,2.148250818,0.75411786,8.256633295,3.453570255,0,5.899717023,5.041146589,4.009409881,6.544496205,6.972853455,6.164253293,7.293269312,3.880832432,0,0,0.425781539,1.021408657,0,0.425781539,0,1.021408657,10.77967832,8.319997199,7.286945816,10.73910551,10.10265813,7.678867704,14.13411342,12.75103141,1.441695937,1.441695937,0,0
PRAD,4.365118592,9.904855863,9.87021366,11.94060725,9.821022947,7.622622926,12.06848272,10.08442309,8.90636151,9.189194477,0.835358201,1.147762557,9.803403035,8.78335188,7.580597764,5.463926474,9.43131373,2.409716779,7.46504392,2.60833615,0,6.876160833,2.179319952,4.250900955,13.14645253,8.956190272,9.365935258,4.250900955,8.322901586,10.56708145,6.942056993,7.167367964,5.463926474,13.19347454,6.510900224,10.28048081,9.916025732,11.49666906,8.552707518,8.607404296,7.496717988,5.864307499,6.991805255,5.550974521,2.512454463,5.598454537,0.47736648,10.3436632,5.286851584,10.64603662,11.2553414,10.03241772,9.595348871,8.536037354,7.445701877,9.958723799,3.144552203,10.42163358,11.55461763,10.96791789,13.17383326,9.270227571,12.27310497,7.706274978,3.433480286,3.674087726,9.300151187,8.415285441,1.12201002,1.12201002,5.939983465,10.35623186,4.026277762,0,7.098853238,7.775043955,5.134122347,5.068197859,7.316788366,7.552031174,8.557218605,6.22352874,6.231079065,0,0,11.00582803,0,2.938605728,1.360982241,1.12201002,10.05281255,9.813497433,12.33923205,11.21972516,10.72816712,10.3949878,15.1737474,12.67269936,5.315548117,6.121585319,0,6.215936752
BRCA,1.168642036,9.328481957,8.327925339,12.14879114,11.87784009,8.480224723,9.044648208,9.579736427,9.889786847,7.809935295,0,0,10.01513624,6.359717939,2.861002514,0,9.797030817,2.770659929,7.651797967,1.805746451,0.873419503,0,0.873419503,0.501821265,13.39339046,15.07738321,6.736983628,0.501821265,6.946134292,10.14749751,3.085475646,1.967943249,2.679919175,12.6828432,3.612635584,9.426809856,9.221954394,11.00044373,5.634416115,8.82138496,4.89263874,2.113733833,5.384381423,7.804576348,1.805746451,3.012979792,1.168642036,1.168642036,4.577785303,9.655611218,11.83691824,9.848067349,9.348874187,8.597974313,3.839203788,10.14273252,2.367426983,8.62254972,10.51172301,9.087202921,12.37466459,9.068318799,9.045784229,5.7504484,4.743784223,1.967943249,5.976970741,6.984555174,1.622977191,3.752802103,3.343748912,10.51213798,3.401685072,0,0.501821265,9.038954645,1.622977191,5.133949793,7.044885863,2.583085777,10.84663434,3.562718664,7.089635855,0,0,12.90795344,0.501821265,0,0,0,11.38809803,4.830716742,11.08714456,9.648652383,9.398630409,2.479282307,14.28823166,13.14360005,0,3.839203788,0,0
BRCA,3.365832489,9.976478204,10.08889422,11.34984515,9.291152277,8.158054213,11.67502639,9.474409678,8.755147965,7.899278366,2.078029088,1.90126274,11.39446805,8.955719643,5.684428843,0,10.08222889,1.052485453,6.765123626,1.282261867,0,1.480368537,0,0,13.45163613,14.30847413,8.450093621,1.282261867,6.865993025,9.970321631,5.296828129,2.499399459,1.654527196,13.09246976,2.896213714,11.42991405,10.6200915,10.64932804,7.839644719,9.270391114,0.44148348,8.653629729,4.294106065,12.72128721,2.304043696,5.792381663,0,1.052485453,3.314827015,9.203164442,11.32991964,10.16014875,10.65606727,7.727130839,6.711921595,10.00943676,0.779133624,6.746003661,11.47778862,10.00994056,13.18849767,9.920020804,9.797094062,5.891424048,2.195473592,0.779133624,6.588536255,6.816446111,2.499399459,5.469970608,2.078029088,7.00929118,4.57980769,0,2.499399459,9.635043314,2.671429256,4.940974809,8.366483962,3.207096339,9.016827783,2.750306359,5.481576654,0,0,12.35687558,0,0,0,0,10.8885454,4.444017655,10.85128056,10.00943676,9.773681558,9.051312278,12.70984417,11.86702385,1.282261867,1.480368537,0,0
BRCA,2.860207991,10.95712381,10.64975017,12.10429079,8.046671124,8.009593513,11.89998372,10.75616432,9.137413865,9.175848912,2.565475321,0.611361264,11.10446771,9.125909352,5.482590175,0.533264313,12.68713944,2.046351359,9.584111285,1.227556261,0,1.881038076,0,0,12.65578785,13.80586476,10.87465098,5.736756388,8.309203478,10.99681947,5.147164213,2.946431437,3.606525139,13.04076232,5.47187027,11.91292675,9.791993095,11.29318423,8.723609754,8.838003143,0,2.194654434,5.528880703,8.078049375,2.452147323,13.01923974,0,2.194654434,6.410726084,10.01907638,10.56496875,9.560380605,9.632062777,8.240462217,6.554946412,9.293621084,3.104823068,9.029196107,11.44992757,10.76101095,13.0870998,10.05111376,12.17896357,9.145409982,4.133185377,1.479696205,8.465109241,9.475917809,2.329123596,4.095941294,4.952529268,8.075660979,1.881038076,0.533264313,9.27707813,8.609308039,1.881038076,5.939595669,5.528880703,5.350610395,9.390052848,5.662268175,1.881038076,0,0,10.31998817,0,0,0,0,10.75691487,8.051540682,9.768513526,10.29913932,10.36128586,9.003025921,14.5096575,12.54646525,0.92181714,4.431121473,0,0
LUAD,2.719205349,9.946067016,10.81945264,9.969357739,9.076722086,9.770378133,11.92839993,9.967355966,8.043574173,8.090520023,0.43199729,1.772139031,10.3285964,8.380742434,7.764387295,1.033652052,10.20433883,1.6296597,6.268610303,2.864592271,2.557532628,1.457016363,0,1.783875677,13.15378792,6.709759325,7.653683464,9.606270098,7.613096952,10.47942662,11.03782833,4.523022413,2.996641829,12.67256236,3.117628557,10.60113936,9.105348079,11.36363652,7.971169899,8.499602761,7.80546659,0.43199729,9.911450414,4.062484413,2.557532628,9.789284208,0,3.563304589,4.608081799,11.56821741,10.7076611,9.737129015,9.637588512,7.926325649,6.948647566,9.730624673,1.260808535,5.774968867,11.43939458,10.0065505,12.50896586,10.11679879,11.37258759,7.464202648,2.274947431,0.43199729,5.980358965,7.10680893,8.12700382,4.971272233,4.121537662,7.020224374,3.605292826,0.43199729,3.117628557,7.38205332,1.260808535,6.181092609,10.40560952,4.587286973,11.39613915,3.281965254,0,0.43199729,0,3.058403089,0,4.688404188,0.43199729,0,11.29133189,8.034001065,6.469506698,10.16540952,10.08792687,8.859739762,14.91145285,12.53499585,3.724377422,5.064520753,0,0
KIRC,2.233059745,9.478023309,9.778420509,11.90549607,9.30479165,8.024929096,10.14481117,11.26626534,7.717635301,8.554366291,0.454281196,0,10.4570217,8.959176057,7.646659506,0.454281196,9.517173315,2.34238407,11.10567939,0.799336025,11.72087696,5.356640356,0,0.454281196,11.01311327,7.28275485,9.543888287,0,7.957781139,11.1308987,4.935949992,1.687419077,4.258247546,12.31374185,6.171228849,10.85055411,8.969864223,11.75294925,8.651844597,9.260204476,0,0.799336025,5.660994199,3.070835807,3.68304513,3.84043302,0,6.319000061,11.22067458,10.58753377,10.25422554,9.887301355,9.699699106,8.34040204,6.338927095,9.694552903,1.07751647,8.135396348,10.79423714,10.5055734,13.3031814,9.652043652,11.138259,4.31300635,3.802668866,0.799336025,9.238266196,7.576499463,6.471202095,5.330336099,0.799336025,9.600011373,2.34238407,2.34238407,6.817354646,5.234305872,3.982327386,6.957136875,6.80308493,7.82984956,8.323833898,4.95329318,0.454281196,0,0.454281196,4.66838013,0,0,0.454281196,0.799336025,9.937175169,8.958103163,7.673853186,10.77912016,10.21118259,6.428443926,13.94351298,12.46051733,0.799336025,3.724028098,0,0
KIRC,0.401193551,9.575733988,9.708263122,11.19024446,8.723183095,9.578761384,10.63274988,10.77680312,8.298672061,7.651510984,0.714751059,0.648465443,10.47497338,9.095418122,6.733557714,0.714751059,10.87439739,0.401193551,10.07063083,0.714751059,12.58021145,4.143393419,0,0,11.50231966,6.721386332,10.34906002,2.615840003,8.238681787,11.16266826,6.18622123,3.648718525,3.318634995,13.16884132,6.493953093,11.00504904,9.268148963,11.62425629,8.108984373,8.836795187,0.714751059,0,7.573526011,2.178491568,2.889921273,0.714751059,0,5.769316859,13.76499596,10.40283088,10.64116666,10.02118821,9.782619882,8.32775472,5.63614896,9.657046858,1.958100262,8.506271873,11.11862318,10.5955652,12.74983173,9.628697056,11.75821072,6.488812219,4.315877747,0.97217797,9.368128823,6.847232777,5.19331048,3.065951374,3.172391503,10.12300913,2.5383395,1.380230735,8.525227151,4.26866644,4.736020319,6.325386415,4.960599744,5.91441862,7.907966205,5.033022075,0,0,0,1.547795284,0,0,0.714751059,0.401193551,9.888405363,9.305908979,8.059560781,10.65271055,10.78730675,5.267236142,15.35565736,13.44981927,0.97217797,4.590021088,0,0
PRAD,3.785016897,10.38710185,9.936278693,11.49752255,8.516015147,9.039270021,11.45872957,10.62974821,8.847943681,9.32034477,0,1.139273018,11.25522926,8.123878257,6.221805563,7.046185446,10.35981544,1.533114772,8.485845406,0.55924706,0.961252884,7.221200418,0,4.282966078,14.76091222,7.855503902,9.289018293,3.682337323,6.469239679,9.456865685,5.315718375,7.656567874,3.682337323,13.36261508,5.793224827,10.73810915,10.13039038,11.81290729,8.377041302,8.31403937,6.010130838,7.041001987,6.198647373,4.055369212,2.109226816,8.227798826,0,5.446798793,4.282966078,10.7109958,11.30386635,10.33675201,9.690586457,8.532714363,8.03029745,9.833707626,3.388230875,11.49586502,11.21239911,10.95563538,13.69297504,8.90178103,12.28604366,6.988173405,0.961252884,1.751720787,8.711198904,10.05404802,0,0.55924706,5.133115491,10.36913928,1.275305094,0,5.691146081,8.827037777,4.01368557,4.568561158,6.615748799,6.226285018,8.514149883,7.583661986,2.109226816,0,0,7.786014724,0,0.55924706,0,0,10.12183135,9.034067115,11.04175496,10.63749433,10.52469841,6.207918223,15.09064589,12.59601733,4.38457483,4.01368557,0,3.388230875
BRCA,1.822689364,9.349573167,10.26252947,11.15638018,6.111590582,6.847771468,11.50856235,10.09954507,9.667044108,8.157594522,2.911634065,0,10.81929297,9.863402666,5.635687652,0,12.07680892,2.209390977,9.031599208,1.061707085,0,2.318258988,0.44625623,1.292722863,13.77557942,14.91487093,10.5263623,8.89327119,8.857642046,11.897074,5.588648682,3.431221784,7.13500123,14.24557499,6.379960527,10.78354669,11.14233685,11.82625849,9.468021182,9.721950196,5.327263402,8.204443986,5.533264313,9.611303347,4.284410488,4.941275367,0,1.4918018,4.507731224,10.50941874,8.34777637,8.111067838,8.227307879,7.934215712,7.002601267,8.33811238,2.318258988,5.960224403,11.83358193,10.62071469,14.01044069,9.844186332,11.08979473,9.359160944,4.257327493,0.44625623,6.995292297,5.976927222,2.209390977,2.911634065,2.318258988,8.6355694,4.835353147,0,7.674919613,4.113675498,2.911634065,6.379960527,5.233075088,4.437061244,7.61482761,3.919988339,5.555672001,0,1.061707085,11.30845849,0,0,0,0,11.38729576,6.354623178,9.004363745,11.33400506,8.146563585,7.050730229,12.9511827,11.57039652,1.963437131,4.721033548,0,10.20564665
KIRC,1.11196609,10.47195966,10.20535341,9.69541449,7.518424981,8.097705597,7.782179194,10.65905935,9.361068683,9.206098614,4.688034851,0,10.96817717,9.274431736,8.610397402,0,11.63720448,1.11196609,8.070958136,5.614892378,8.6387979,4.453247584,0,0,7.592643903,6.151241871,7.761737375,1.891419187,8.614776089,11.10708627,3.363381367,7.693222091,1.349704962,13.22967804,4.076644601,12.25341319,9.765753521,12.12737856,7.468843943,9.11233003,0,1.11196609,6.737294671,1.553704546,7.291244387,1.732442877,0,2.497178023,10.24638433,10.46311562,11.28862387,8.89842,9.472975086,8.429557385,4.453247584,8.885488952,0.472071799,5.496165113,10.54255794,10.21337159,13.12989957,8.853244048,11.88562393,6.85776955,2.767061498,9.720126238,5.967083279,4.319776876,3.128111898,4.37465698,2.394678761,7.954283568,2.034638318,0,7.849111058,2.497178023,2.497178023,7.0300491,5.471200469,2.592851669,8.700512545,3.517653642,0,0.472071799,0,2.767061498,1.349704962,0.472071799,0.472071799,0,11.07533875,7.244125943,6.159078141,9.99266931,9.587751268,4.291529889,14.80098582,12.23915993,1.553704546,0.827249962,0.472071799,0
