Class,gene_18529,gene_13429,gene_18897,gene_3443,gene_6876,gene_7929,gene_11348,gene_14318,gene_12300,gene_15430,gene_5297,gene_14984,gene_19238,gene_11355,gene_11807,gene_14828,gene_15431,gene_4442,gene_10561,gene_1136,gene_978,gene_5237,gene_19874,gene_7573,gene_2865,gene_5020,gene_17769,gene_10983,gene_8971,gene_7752,gene_5047,gene_6535,gene_13574,gene_6552,gene_7432,gene_14752,gene_4316,gene_6222,gene_16407,gene_17205,gene_19269,gene_6593,gene_62,gene_17706,gene_12277,gene_11379,gene_8332,gene_17955,gene_17549,gene_14036,gene_4315,gene_10389,gene_5804,gene_8197,gene_11751,gene_15834,gene_6225,gene_10263,gene_11627,gene_19464,gene_10565,gene_6671,gene_1281,gene_10077,gene_6224,gene_5045,gene_3568,gene_14850,gene_14083,gene_3593,gene_16448,gene_503,gene_4539,gene_19536,gene_10572,gene_4997,gene_6909,gene_17121,gene_9057,gene_10388,gene_13486,gene_2862,gene_8847,gene_17399,gene_18475,gene_15305,gene_11867,gene_13049,gene_6467,gene_5040,gene_6784,gene_13721,gene_15972,gene_8725,gene_19663,gene_15467,gene_4066,gene_5660,gene_1588,gene_1589
BRCA,10.76122709,8.899009426,5.928964809,13.98216471,13.57608276,10.15551398,2.715717689,11.15813629,8.115407855,6.534161233,12.78856133,1.651683181,2.146394549,9.431978074,10.7149066,3.549681491,3.835974588,4.567143832,9.069747809,4.279575297,11.83306006,12.59475847,7.940272482,7.305824639,9.411248271,8.042266762,12.16792927,11.26245313,10.22584608,9.893603388,9.215142242,13.68764906,12.94754197,4.180792346,2.514097005,0,0,10.3071211,9.611777311,1.999567127,11.28293782,12.69658942,2.279649579,9.097091919,9.149226335,12.6083819,3.651556905,3.601518248,9.162187373,6.056273541,3.192146811,11.34654697,3.050135971,12.59115765,4.567143832,10.3771129,8.189261205,1.836085712,10.66362926,12.71196159,6.778918183,0,10.39052367,2.146394549,3.440061863,6.860975209,12.12138458,8.72297484,5.970165726,8.537486332,5.104986565,11.03629727,9.008663916,7.708766626,11.18307085,11.5345023,9.591892557,8.135329647,7.204708072,12.98941224,10.33323363,2.715717689,0.892818428,9.48123435,0.514400039,9.935863387,11.60929419,4.892536745,3.977664591,2.645355813,4.486727243,11.47343179,3.38196164,7.363258702,0,8.185019109,14.36863605,10.428245,8.086141534,6.637100124
KIRC,10.13252543,8.509945189,9.116627274,10.59766152,7.963133062,9.377036963,1.766807151,10.80065727,8.356720456,7.264564579,12.28918894,1.021408657,3.360195695,3.498084884,10.6339488,2.620422192,3.037224062,13.3681381,9.470058897,1.021408657,10.98029669,11.06596133,4.432779059,8.946251285,8.256633295,8.319997199,7.286945816,10.37818646,10.73910551,10.10265813,7.678867704,14.13411342,12.75103141,1.441695937,1.441695937,0,0,11.5294452,14.07708274,2.537544572,10.9525811,0.75411786,0,8.522118539,10.42658974,6.631986048,1.246833688,4.313311163,11.62442994,6.666529378,6.078908657,10.47200029,3.541254625,12.16947409,6.71446534,10.16783208,8.982930847,1.613390205,10.88478105,14.51747255,8.967183021,1.246833688,10.51478308,3.40763827,5.695066784,2.773131292,10.95657218,9.006233496,6.321141612,9.084949196,7.356161421,10.38672474,11.86422097,5.410676907,9.622346553,8.966193952,10.1836726,8.851864577,9.029165732,9.800631391,10.5222088,4.684639231,0,9.657112974,0.425781539,10.423242,11.98711121,4.979691558,4.416637102,6.096820553,7.515250404,11.49879437,2.148250818,8.87208691,0,9.355274004,10.47878984,7.751912217,6.81905501,5.874612561
PRAD,9.803403035,8.78335188,7.580597764,13.14645253,8.956190272,9.365935258,4.250900955,10.56708145,7.41288312,6.942056993,13.19347454,5.864307499,2.512454463,5.598454537,10.7663467,10.3436632,7.167367964,5.286851584,9.595348871,3.144552203,11.55461763,12.27310497,7.706274978,8.630427314,10.35623186,9.813497433,12.33923205,11.07197177,11.21972516,10.72816712,10.3949878,15.1737474,12.67269936,5.315548117,6.121585319,0,6.215936752,12.32529983,10.28048081,1.12201002,11.582556,12.67883778,0.835358201,8.185846728,9.268373569,10.40503507,1.905004241,6.473187829,10.84319874,6.215936752,3.484924373,11.30944793,2.938605728,12.59426628,5.476686268,11.24161975,8.34394962,4.521101004,11.2578828,12.41370461,9.372780193,2.179319952,10.86489803,0.835358201,7.355307044,4.220879375,10.00900278,9.644245665,6.088709809,9.346948028,5.753315712,11.09569371,9.904855863,5.586728721,9.534092738,11.26019036,10.46670868,7.198513798,7.965899696,11.07722297,10.54036056,1.12201002,3.880244716,8.483263579,2.698262937,10.40211672,10.33842441,5.181663136,5.008814036,3.784137504,10.50497784,10.85515658,3.267161218,7.922251377,2.86284809,8.658700631,12.04725004,6.674926673,7.210028379,5.301273029
BRCA,10.01513624,6.359717939,2.861002514,13.39339046,15.07738321,6.736983628,0.501821265,10.14749751,1.413648237,3.085475646,12.6828432,2.113733833,1.805746451,3.012979792,9.889786847,1.168642036,1.967943249,4.577785303,9.348874187,2.367426983,10.51172301,9.045784229,5.7504484,2.24613442,10.51213798,4.830716742,11.08714456,9.036670913,9.648652383,9.398630409,2.479282307,14.28823166,13.14360005,0,3.839203788,0,0,8.112799158,11.05929038,0.873419503,9.85650801,12.1734273,0,7.985967136,9.349646142,11.26862972,1.622977191,2.479282307,7.857290575,2.24613442,5.063904115,12.63707313,2.583085777,11.59160649,2.479282307,9.165587899,4.500349547,0,9.628321589,12.00389733,4.270880229,0,9.193532753,0,1.622977191,2.24613442,12.07420169,7.049423845,4.207322843,6.544666206,8.971187147,8.075463105,6.33762547,8.305336741,8.023355166,11.93429534,8.255141903,7.27543547,6.23777402,10.52400293,11.18937365,1.622977191,0,8.37206842,0,8.725390118,9.996939482,3.220376393,0.522859255,3.818932344,3.012979792,9.98879828,2.770659929,8.536266646,0,5.597706957,14.06073814,8.117128782,8.203142413,5.063904115
BRCA,11.39446805,8.955719643,5.684428843,13.45163613,14.30847413,8.450093621,1.282261867,9.970321631,5.100031515,5.296828129,13.09246976,8.653629729,2.304043696,5.792381663,10.8170476,1.052485453,2.499399459,3.314827015,10.65606727,0.779133624,11.47778862,9.797094062,5.891424048,3.795912373,7.00929118,4.444017655,10.85128056,10.30396336,10.00943676,9.773681558,9.051312278,12.70984417,11.86702385,1.282261867,1.480368537,0,0,9.376780912,9.442101678,1.052485453,10.94570718,13.4202629,0.779133624,8.423258807,6.505408257,11.69104992,0,1.809949439,7.981287563,3.462719836,4.09691119,9.70889937,2.825093619,12.78729655,4.535953401,11.33752156,5.527095365,1.282261867,11.66519822,10.58083327,4.558047171,0,10.60491455,0.44148348,3.5088216,5.792381663,11.51214786,8.023582495,5.614035447,9.160952953,4.854344805,10.69834004,10.6334857,8.733466199,9.949574326,10.95093493,9.443585932,8.979450919,4.444017655,10.37258215,11.1178184,2.499399459,0,9.298555223,7.285679634,8.237219523,10.41254868,3.638907926,2.195473592,0,2.587964989,11.21532671,2.499399459,5.335719055,0,8.636856593,13.77666949,8.805656824,9.777805983,7.870876354
BRCA,11.10446771,9.125909352,5.482590175,12.65578785,13.80586476,10.87465098,5.736756388,10.99681947,7.924515622,5.147164213,13.04076232,2.194654434,2.452147323,13.01923974,11.08202926,2.194654434,2.946431437,6.410726084,9.632062777,3.104823068,11.44992757,12.17896357,9.145409982,5.772606218,8.075660979,8.051540682,9.768513526,10.50762618,10.29913932,10.36128586,9.003025921,14.5096575,12.54646525,0.92181714,4.431121473,0,0,11.66547805,9.448475644,2.452147323,11.6547121,13.23950754,0.92181714,8.771641324,7.703993523,14.20800568,0.533264313,2.046351359,10.46990632,8.056399278,6.788829242,11.3853825,3.708750075,12.52975752,3.893750502,11.05680704,8.367017164,9.842763605,11.09653728,12.0261603,6.911811402,0.533264313,11.11730544,2.670545786,6.433300003,7.746682262,12.40432999,9.221959226,7.921858785,9.61817257,2.670545786,11.5956864,8.898743458,6.520219503,11.60545174,12.32405957,10.22668914,8.061236166,6.455526142,12.96733435,10.3764076,2.329123596,5.16525675,9.863690714,4.273239856,10.75243083,12.79863583,5.796018836,2.415109632,1.500394166,3.757279323,11.82993278,4.018429434,7.621216719,0.533264313,8.838003143,15.43813883,8.673923835,7.009582317,6.283979168
LUAD,10.3285964,8.380742434,7.764387295,13.15378792,6.709759325,7.653683464,9.606270098,10.47942662,1.923187221,11.03782833,12.67256236,0.43199729,2.557532628,9.789284208,11.49191822,3.563304589,4.523022413,4.608081799,9.637588512,1.260808535,11.43939458,11.37258759,7.464202648,6.027441606,7.020224374,8.034001065,6.469506698,10.80263753,10.16540952,10.08792687,8.859739762,14.91145285,12.53499585,3.724377422,5.064520753,0,0,12.04750908,8.692095864,1.033652052,11.62175886,8.667537367,8.287116712,7.816676498,10.42438677,9.85438221,5.629962716,2.640644063,12.06946991,3.475474047,7.285281989,12.63646602,4.062484413,12.342083,3.332822486,10.28284518,8.062537299,0.763921421,10.61789902,10.89412808,8.744702677,0,11.04261014,0,3.058403089,10.04805087,10.46275787,8.609411472,4.523022413,8.287116712,8.142306212,9.870611313,10.61050814,7.135740063,10.54426899,10.14598308,10.1446455,7.922180005,9.7012822,11.16367483,10.56967526,8.12700382,0,9.27345761,1.260808535,11.80561088,10.69217086,3.685760781,3.814827247,6.568442594,3.117628557,11.37277802,1.6296597,7.195367286,3.174502297,7.671081029,12.45599241,7.818914454,8.910855559,6.91147588
KIRC,10.4570217,8.959176057,7.646659506,11.01311327,7.28275485,9.543888287,0,11.1308987,4.769734719,4.935949992,12.31374185,0.799336025,3.68304513,3.84043302,10.81483077,6.319000061,1.687419077,11.22067458,9.699699106,1.07751647,10.79423714,11.138259,4.31300635,7.080625688,9.600011373,8.958103163,7.673853186,10.91087504,10.77912016,10.21118259,6.428443926,13.94351298,12.46051733,0.799336025,3.724028098,0,0,11.96827799,13.76519284,4.258247546,11.29799954,5.639729958,0,8.756796474,10.16577379,10.48709639,0.799336025,3.68304513,11.05286688,7.378927725,4.882643049,11.55383085,4.142078458,11.99547392,4.339622003,10.15842035,9.653369983,0.799336025,10.7456071,13.55566759,9.804332726,0.454281196,10.65048635,3.304963638,5.528443171,1.844345477,10.72462469,9.390031345,7.774833172,8.010500133,7.492734474,10.82517346,10.6411486,4.581839295,10.94350382,10.00992657,10.43751282,8.137293457,7.048715725,10.78336661,10.83923529,6.471202095,0,8.924429515,0,11.08394464,12.36042189,6.37797398,6.366434128,10.40651329,8.037173535,11.40347544,2.538960233,8.863826974,0,9.647390068,10.71257859,8.332139514,6.683499965,6.390757095
KIRC,10.47497338,9.095418122,6.733557714,11.50231966,6.721386332,10.34906002,2.615840003,11.16266826,5.074796549,6.18622123,13.16884132,0,2.889921273,0.714751059,11.07061071,5.769316859,3.648718525,13.76499596,9.782619882,1.958100262,11.11862318,11.75821072,6.488812219,7.800032728,10.12300913,9.305908979,8.059560781,10.8572968,10.65271055,10.78730675,5.267236142,15.35565736,13.44981927,0.97217797,4.590021088,0,0,13.52214012,13.22822646,2.36960607,11.224671,0.401193551,1.697907232,8.703342993,8.85777577,8.586674685,2.5383395,5.690900334,11.83706809,7.013975821,3.451422142,11.04193972,3.854584179,12.71331133,3.917154838,10.10337961,9.899586527,2.07251745,11.37121034,14.50451488,9.367427857,0.714751059,10.58686793,1.958100262,5.437004631,4.490647141,11.47121287,9.187940909,7.818588568,7.878786638,7.100546709,9.963062238,12.17100474,5.033022075,10.08262809,9.792041916,9.582386645,6.822934048,8.0315551,12.53158859,10.56138342,5.19331048,0,8.527738935,0.401193551,11.10713205,12.28476049,5.489424119,5.295778116,8.451606768,5.19331048,10.5662729,3.533600723,8.666252413,0.401193551,9.13215267,13.28743968,10.51503944,7.107510032,5.867654348
PRAD,11.25522926,8.123878257,6.221805563,14.76091222,7.855503902,9.289018293,3.682337323,9.456865685,5.988775562,5.315718375,13.36261508,7.041001987,2.109226816,8.227798826,10.75323347,5.446798793,7.656567874,4.282966078,9.690586457,3.388230875,11.21239911,12.28604366,6.988173405,4.416914036,10.36913928,9.034067115,11.04175496,11.13583752,10.63749433,10.52469841,6.207918223,15.09064589,12.59601733,4.38457483,4.01368557,0,3.388230875,12.49845283,10.39828409,0.961252884,11.57031587,13.01226487,0.55924706,8.354258199,8.022439946,10.0437382,2.740323164,8.693155866,10.26083723,4.416914036,4.35149406,10.81655971,3.734590407,12.63176366,4.448550804,11.04208341,7.554880431,2.634291223,11.39267698,11.70981618,8.989068029,1.275305094,11.50881982,1.533114772,5.999492713,4.597066291,9.068829322,9.552761304,5.298464037,8.42155153,4.963511116,11.16914834,9.252523521,7.061603409,9.415450243,11.06043249,10.87389777,6.615748799,5.399027501,11.31329121,10.4761285,0,2.109226816,9.059898717,0,9.697184783,9.655364352,8.495343399,3.516141251,3.995385019,9.854517794,10.6215391,0.55924706,7.086953565,0.55924706,8.307587905,11.91426179,9.140786323,8.403506334,6.710117632
BRCA,10.81929297,9.863402666,5.635687652,13.77557942,14.91487093,10.5263623,8.89327119,11.897074,4.083153787,5.588648682,14.24557499,8.204443986,4.284410488,4.941275367,11.69060915,1.4918018,3.431221784,4.507731224,8.227307879,2.318258988,11.83358193,11.08979473,9.359160944,4.760157062,8.6355694,6.354623178,9.004363745,12.78411746,11.33400506,8.146563585,7.050730229,12.9511827,11.57039652,1.963437131,4.721033548,0,10.20564665,11.04545253,7.565985518,0,12.08610304,13.42052609,4.362757417,8.714348564,5.441055149,13.6861941,0,1.4918018,9.523077709,4.437061244,6.453408929,8.444269502,3.919988339,13.28715106,3.735998665,10.45959555,6.824895114,2.318258988,10.58336488,10.62436596,6.611511763,0,11.50838408,1.666711152,6.40486226,6.360999793,11.52356196,9.874029992,7.85285406,7.196902068,4.46100461,11.2488882,8.840633175,6.119134111,10.75174488,10.47068937,10.39114691,7.744847289,4.740727922,11.95327979,7.773811758,2.209390977,0,8.297136379,0,8.320227418,12.58759939,7.816196484,3.222974534,1.079156207,4.779328018,11.3786796,3.165847639,8.135447654,0,9.503038599,15.74152755,7.974276911,8.597706212,8.437997528
